rank,worth_billions,category,name,age,country,city,source,industry,countryOfCitizenship,self_made,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,age_group,worth_tier,year,company_founded,company_name,company_relationship,company_sector,company_type,country_code,gdp,region,wealth_type,wealth_category,from_emerging,inherited_raw,was_founder,was_political,inherited
43,31.2,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,Split Family Fortune,female,1945-03-26 00:00:00,Aponte-Diamant,Rafaela,2023-04-04 05:01:00,1945.0,3.0,26.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,70s,10–100B,2023,,,,,,,,,,,,,,,
45,30.2,Technology,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,True,U,male,1980-02-02 00:00:00,Huang,Colin Zheng,2023-04-04 05:01:00,1980.0,2.0,2.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,40s,10–100B,2023,,,,,,,,,,,,,,,
46,29.7,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,True,U,male,1935-04-20 00:00:00,Wuerth,Reinhold,2023-04-04 05:01:00,1935.0,4.0,20.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,80s,10–100B,2023,,,,,,,,,,,,,,,
47,29.5,Real Estate,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,D,male,1928-01-29 00:00:00,Lee,Shau Kee,2023-04-04 05:01:00,1928.0,1.0,29.0,,,,,,,,,,,,90+,10–100B,2023,,,,,,,,,,,,,,,
48,28.5,Finance & Investments,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,True,U,male,1958-07-17 00:00:00,Yass,Jeff,2023-04-04 05:01:00,1958.0,7.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,10–100B,2023,,,,,,,,,,,,,,,
49,28.1,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,True,D,male,1938-04-25 00:00:00,Simons,Jim,2023-04-04 05:01:00,1938.0,4.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,10–100B,2023,,,,,,,,,,,,,,,
50,27.8,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,True,D,male,1947-02-14 00:00:00,Schwarzman,Stephen,2023-04-04 05:01:00,1947.0,2.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,10–100B,2023,,,,,,,,,,,,,,,
51,27.4,Automotive,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,False,U,female,1962-04-28 00:00:00,Klatten,Susanne,2023-04-04 05:01:00,1962.0,4.0,28.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,60s,10–100B,2023,,,,,,,,,,,,,,,
52,27.0,Metals & Mining,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,False,D,female,1954-02-09 00:00:00,Rinehart,Gina,2023-04-04 05:01:00,1954.0,2.0,9.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,60s,10–100B,2023,,,,,,,,,,,,,,,
53,26.7,Technology,William Ding,51.0,China,Hangzhou,Online games,Technology,China,True,U,male,1971-10-01 00:00:00,Ding,William,2023-04-04 05:01:00,1971.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,50s,10–100B,2023,,,,,,,,,,,,,,,
54,26.6,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,D,male,1953-10-26 00:00:00,Larrea Mota Velasco,Germán,2023-04-04 05:01:00,1953.0,10.0,26.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,60s,10–100B,2023,,,,,,,,,,,,,,,
55,25.6,Technology,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,True,D,male,1945-07-18 00:00:00,Nadar,Shiv,2023-04-04 05:01:00,1945.0,7.0,18.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,70s,10–100B,2023,,,,,,,,,,,,,,,
56,25.5,Energy,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,U,male,1948-04-17 00:00:00,Low Tuck,Kwong,2023-04-04 05:01:00,1948.0,4.0,17.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,70s,10–100B,2023,,,,,,,,,,,,,,,
57,25.3,Finance & Investments,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,U,male,1944-09-30 00:00:00,Peterffy,Thomas,2023-04-04 05:01:00,1944.0,9.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,10–100B,2023,,,,,,,,,,,,,,,
58,25.2,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,U,male,1972-03-08 00:00:00,Melnichenko,Andrey,2023-04-04 05:01:00,1972.0,3.0,8.0,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818,50s,10–100B,2023,,,,,,,,,,,,,,,
59,24.6,Automotive,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,False,U,male,1966-05-09 00:00:00,Quandt,Stefan,2023-04-04 05:01:00,1966.0,5.0,9.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,50s,10–100B,2023,,,,,,,,,,,,,,,
60,24.4,Technology,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,False,D,female,1970-04-07 00:00:00,Scott,MacKenzie,2023-04-04 05:01:00,1970.0,4.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,10–100B,2023,,,,,,,,,,,,,,,
61,24.2,Finance & Investments,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,U,male,1941-01-01 00:00:00,Hartono,R. Budi,2023-04-04 05:01:00,1941.0,1.0,1.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,80s,10–100B,2023,,,,,,,,,,,,,,,
62,23.7,Metals & Mining,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,True,U,male,1961-01-03 00:00:00,Potanin,Vladimir,2023-04-04 05:01:00,1961.0,1.0,3.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,60s,10–100B,2023,,,,,,,,,,,,,,,
63,23.5,Technology,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,True,U,male,1964-09-10 00:00:00,Ma,Jack,2023-04-04 05:01:00,1964.0,9.0,10.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,50s,10–100B,2023,,,,,,,,,,,,,,,
64,23.4,Manufacturing,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,True,D,male,1942-08-11 00:00:00,He,Xiangjian,2023-04-04 05:01:00,1942.0,8.0,11.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,80s,10–100B,2023,,,,,,,,,,,,,,,
65,23.1,Metals & Mining,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,False,U,female,1943-01-01 00:00:00,Fontbona,Iris,2023-04-04 05:01:00,1943.0,1.0,1.0,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969,80s,10–100B,2023,,,,,,,,,,,,,,,
65,23.1,Manufacturing,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,U,male,1939-10-02 00:00:00,Hartono,Michael,2023-04-04 05:01:00,1939.0,10.0,2.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,80s,10–100B,2023,,,,,,,,,,,,,,,
67,22.9,Manufacturing,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,U,male,1953-01-01 00:00:00,Ratcliffe,James,2023-04-04 05:01:00,1953.0,1.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,70s,10–100B,2023,,,,,,,,,,,,,,,
68,22.6,Healthcare,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,False,D,male,1941-05-11 00:00:00,Poonawalla,Cyrus,2023-04-04 05:01:00,1941.0,5.0,11.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,80s,10–100B,2023,,,,,,,,,,,,,,,
69,22.4,Telecom,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,U,male,1957-08-11 00:00:00,Son,Masayoshi,2023-04-04 05:01:00,1957.0,8.0,11.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,60s,10–100B,2023,,,,,,,,,,,,,,,
70,22.1,Metals & Mining,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,U,male,1956-05-07 00:00:00,Lisin,Vladimir,2023-04-04 05:01:00,1956.0,5.0,7.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,60s,10–100B,2023,,,,,,,,,,,,,,,
